ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,38.2441,-90.4222,2.128,0.6094,0.4219,1.61,2.37e-30,2.37e-30,2.37e-30,2.37e-30,2.37e-30,0.4574,0.4629,0.4853,0.5084,0.532,0.5677,0.6167,0.68,0.7381,0.7986,0.8619,0.928,0.9993,1.074,1.178,1.276,1.404,1.532,1.682,1.805,4.941,4.95,5.075,5.241,5.39,4.03e+14,1.056e+14,3.879e-09,3.667e-09,3.455e-09,3.242e-09,3.03e-09,2.703e-09,2.606e-09,2.182e-09,1.913e-09,1.819e-09,1.725e-09,1.618e-09,1.456e-09,1.358e-09,1.135e-09,8.081e-10,1.841e-10,8.674e-11,5.806e-11,4.61e-11,4.18e-11,4.301e-11,3.68e-11,3.783e-11,4.083e-11,4.22e-11,4.23e-11,4.98e-11,1.29e-10,2.133e-10,1020,1015,1010,1005,1000,992.4,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,403,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.193,0.1953,0.2048,0.2145,0.2244,0.2395,0.2602,0.2869,0.3114,0.3369,0.3636,0.3915,0.4216,0.4533,0.4968,0.5385,0.5924,0.6464,0.7095,0.7616,2.084,2.088,2.141,2.211,2.274,0.154,403,0.53,4.237e+15,3.958e+15,2.79e+14,2.053e+15,992.4,38.16,38.21,38.33,38.28,-90.55,-90.26,-90.3,-90.59,0.0266,0.984,29.04,22,7.959e+15,-131.2,20.64,4.225e+04,144,995,0.04,6.147e+08,77.84,16.21,0,0
1,0,38.3632,-90.4622,2.126,0.7179,0.4638,1.417,2.156e-30,2.156e-30,2.156e-30,2.156e-30,2.156e-30,2.156e-30,0.4621,0.4825,0.5084,0.5349,0.5749,0.6298,0.7008,0.7662,0.8344,0.9058,0.9803,1.061,1.146,1.262,1.373,1.517,1.662,1.83,4.114,4.183,4.334,4.475,4.664,4.839,3.616e+15,1.183e+15,3.837e-09,3.658e-09,3.48e-09,3.301e-09,3.122e-09,2.765e-09,2.694e-09,2.408e-09,2.149e-09,2.039e-09,1.907e-09,1.609e-09,1.453e-09,1.31e-09,9.587e-10,6.433e-10,1.692e-10,8.337e-11,5.69e-11,4.565e-11,3.986e-11,3.907e-11,3.468e-11,3.782e-11,3.938e-11,4.072e-11,4.154e-11,4.622e-11,1.274e-10,2.044e-10,1020,1015,1010,1005,1000,990,988.1,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,472,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2143,0.2238,0.2358,0.2481,0.2666,0.2921,0.325,0.3554,0.387,0.4201,0.4546,0.4919,0.5313,0.5852,0.637,0.7037,0.7707,0.8489,1.908,1.94,2.01,2.075,2.163,2.244,0.103,472,0.431,6.302e+15,3.966e+15,2.336e+15,1.656e+15,988.1,38.27,38.33,38.45,38.4,-90.59,-90.3,-90.34,-90.63,0.02287,0.888,29.31,22,9.475e+15,-131.5,20.7,4.225e+04,199,988,0.04,6.147e+08,77.82,16.21,0,0
2,0,38.4823,-90.5022,2.126,0.7437,0.4487,1.366,2.229e-30,2.229e-30,2.229e-30,2.229e-30,2.229e-30,2.229e-30,0.5338,0.5605,0.5881,0.6165,0.6594,0.7182,0.7943,0.8643,0.9372,1.013,1.093,1.179,1.27,1.394,1.514,1.667,1.822,2.002,2.151,2.3,4.523,4.612,4.81,4.993,4.559e+15,1.498e+15,8.031e-09,7.467e-09,6.903e-09,6.338e-09,5.774e-09,4.645e-09,4.631e-09,3.516e-09,2.633e-09,2.365e-09,2.156e-09,1.818e-09,1.556e-09,1.332e-09,9.091e-10,5.012e-10,1.482e-10,7.819e-11,5.579e-11,4.534e-11,3.867e-11,3.656e-11,3.352e-11,3.827e-11,4.08e-11,4.155e-11,4.228e-11,4.339e-11,1.244e-10,1.982e-10,1020,1015,1010,1005,1000,990,989.9,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,379,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2395,0.2515,0.2639,0.2766,0.2959,0.3223,0.3564,0.3878,0.4205,0.4547,0.4905,0.5291,0.5698,0.6257,0.6792,0.7482,0.8175,0.8983,0.965,1.032,2.029,2.069,2.158,2.24,0.101,379,0.403,6.725e+15,3.974e+15,2.751e+15,1.614e+15,989.9,38.39,38.45,38.57,38.52,-90.63,-90.34,-90.38,-90.67,0.02553,0.8333,29.59,22,9.86e+15,-131.8,20.76,4.225e+04,203,988,0.054,6.147e+08,77.79,16.21,0,0
3,0,38.6014,-90.5424,2.123,0.8828,0.5067,1.147,1.973e-30,1.973e-30,1.973e-30,1.973e-30,1.973e-30,1.973e-30,0.5879,0.6125,0.6422,0.6726,0.7186,0.7816,0.8632,0.9384,1.017,1.099,1.184,1.277,1.374,1.508,1.636,1.801,1.967,2.161,2.32,2.48,2.634,2.846,4.198,4.354,-8.01e+13,-3.538e+13,7.318e-09,6.818e-09,6.319e-09,5.82e-09,5.32e-09,4.322e-09,4.155e-09,3.323e-09,2.485e-09,2.229e-09,2.042e-09,1.824e-09,1.391e-09,1.246e-09,8.6e-10,3.173e-10,1.125e-10,7.105e-11,5.535e-11,4.596e-11,3.916e-11,3.689e-11,3.358e-11,3.83e-11,4.116e-11,4.274e-11,4.171e-11,1.152e-10,1.296e-10,1.913e-10,1020,1015,1010,1005,1000,990,988.5,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,259,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2979,0.3104,0.3254,0.3408,0.3641,0.3961,0.4374,0.4755,0.5152,0.5567,0.6001,0.6469,0.6963,0.7641,0.829,0.9127,0.9968,1.095,1.176,1.257,1.335,1.442,2.127,2.206,0.073,259,0.274,3.933e+15,3.979e+15,-4.597e+13,1.272e+15,988.5,38.51,38.57,38.69,38.63,-90.67,-90.38,-90.42,-90.71,0.02647,0.8667,29.86,22,7.775e+15,-132.1,20.82,4.225e+04,188,989,0.072,6.147e+08,77.77,16.21,0,0
4,0,38.7205,-90.5827,2.121,1.028,0.6539,1.066,1.529e-30,1.529e-30,1.529e-30,1.529e-30,1.529e-30,0.6242,0.6297,0.6537,0.6782,0.7033,0.7414,0.7935,0.861,0.9229,0.9873,1.055,1.125,1.201,1.282,1.392,1.497,1.633,1.769,1.929,2.619,2.741,2.876,3.005,3.182,3.349,3.911e+15,2.4e+15,6.841e-09,6.337e-09,5.834e-09,5.331e-09,4.827e-09,4.032e-09,3.821e-09,2.814e-09,2.087e-09,1.869e-09,1.701e-09,1.539e-09,1.143e-09,9.897e-10,5.562e-10,2.062e-10,9.91e-11,6.751e-11,5.551e-11,4.567e-11,3.858e-11,3.592e-11,3.346e-11,3.803e-11,3.845e-11,4.261e-11,4.86e-11,4.426e-11,1.041e-10,1.882e-10,1020,1015,1010,1005,1000,992.3,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,495,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.4081,0.4118,0.4274,0.4435,0.4599,0.4848,0.5189,0.563,0.6035,0.6456,0.6897,0.7358,0.7856,0.8381,0.9101,0.979,1.068,1.157,1.261,1.713,1.792,1.88,1.965,2.081,2.19,0.049,495,0.187,6.471e+15,3.983e+15,2.488e+15,1.136e+15,992.3,38.63,38.69,38.81,38.75,-90.71,-90.42,-90.46,-90.75,0.03636,0.8267,30.14,22,1.037e+16,-132.4,20.88,4.225e+04,174,991,0.072,6.147e+08,77.75,16.21,0,0
5,0,38.8396,-90.6231,2.121,1.05,0.6806,1.032,1.469e-30,1.469e-30,1.469e-30,1.469e-30,1.469e-30,0.5778,0.586,0.61,0.6347,0.6599,0.6982,0.7506,0.8185,0.8806,0.9454,1.013,1.084,1.161,1.241,1.352,1.458,1.594,1.731,2.374,2.462,2.596,2.73,2.86,3.038,3.206,2.615e+15,1.725e+15,4.971e-09,4.603e-09,4.235e-09,3.867e-09,3.499e-09,2.992e-09,2.764e-09,2.028e-09,1.573e-09,1.431e-09,1.309e-09,1.162e-09,8.949e-10,7.716e-10,3.983e-10,1.67e-10,1.006e-10,6.745e-11,5.577e-11,4.557e-11,3.87e-11,3.587e-11,3.368e-11,3.532e-11,3.728e-11,4.368e-11,5.476e-11,4.825e-11,9.038e-11,1.829e-10,1020,1015,1010,1005,1000,993.4,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,531,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3932,0.3988,0.4152,0.432,0.4491,0.4752,0.5109,0.557,0.5993,0.6434,0.6896,0.7378,0.7899,0.8448,0.9202,0.9922,1.085,1.178,1.615,1.676,1.767,1.858,1.947,2.068,2.182,0.043,531,0.164,5.683e+15,3.987e+15,1.696e+15,1.191e+15,993.4,38.75,38.81,38.93,38.87,-90.75,-90.46,-90.5,-90.79,0.03307,0.784,30.41,22,9.603e+15,-132.7,20.94,4.225e+04,131,997,0.072,6.147e+08,77.73,16.21,0,0
6,0,38.9586,-90.6636,2.118,1.174,0.7617,0.7617,1.313e-30,1.313e-30,1.313e-30,1.313e-30,1.313e-30,0.526,0.5345,0.5611,0.5719,0.5885,0.6165,0.6589,0.717,0.7922,0.8612,0.9331,1.008,1.087,1.172,1.262,1.385,1.502,1.654,1.806,1.984,2.13,2.275,2.417,2.612,2.801,2.416e+15,2.416e+15,2.56e-09,2.414e-09,2.269e-09,2.124e-09,1.979e-09,1.775e-09,1.689e-09,1.398e-09,1.317e-09,1.203e-09,1.134e-09,1.059e-09,8.79e-10,7.077e-10,5.645e-10,3.544e-10,1.346e-10,8.525e-11,6.411e-11,5.493e-11,4.592e-11,3.885e-11,3.541e-11,3.365e-11,3.731e-11,5.142e-11,7.155e-11,5.721e-11,8.309e-11,1.801e-10,1020,1015,1010,1005,1000,993.1,990,980,976,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.4007,0.4072,0.4274,0.4356,0.4483,0.4696,0.5019,0.5462,0.6035,0.656,0.7108,0.7682,0.8281,0.8929,0.9612,1.055,1.144,1.26,1.376,1.511,1.622,1.733,1.841,1.99,2.133,0,976,0,5.558e+15,3.991e+15,1.568e+15,1.087e+15,993.1,38.87,38.92,39.05,38.99,-90.79,-90.5,-90.54,-90.83,0.02567,0.4436,30.68,22,9.658e+15,-133,21,4.225e+04,148,994,0.072,6.147e+08,77.7,16.21,0,0
7,0,39.0776,-90.7043,2.118,1.135,0.7796,0.7796,1.283e-30,1.283e-30,1.283e-30,1.283e-30,1.283e-30,1.283e-30,0.4724,0.4739,0.5003,0.5274,0.5552,0.5974,0.6551,0.7298,0.7986,0.8703,0.9454,1.024,1.109,1.198,1.321,1.438,1.589,1.741,1.918,2.064,2.209,2.35,2.544,2.732,2.927e+15,2.927e+15,2.133e-09,2.007e-09,1.882e-09,1.756e-09,1.63e-09,1.403e-09,1.392e-09,1.379e-09,1.128e-09,9.609e-10,9.03e-10,8.455e-10,7.676e-10,6.692e-10,5.627e-10,3.324e-10,1.159e-10,7.407e-11,6.273e-11,5.526e-11,4.654e-11,3.908e-11,3.527e-11,3.388e-11,3.833e-11,6.328e-11,8.622e-11,6.264e-11,7.734e-11,1.775e-10,1020,1015,1010,1005,1000,991,990.5,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3683,0.3694,0.39,0.4111,0.4329,0.4657,0.5107,0.569,0.6226,0.6785,0.7371,0.7982,0.8643,0.9341,1.03,1.121,1.239,1.358,1.496,1.609,1.722,1.832,1.984,2.13,0,991,0,6.006e+15,3.995e+15,2.011e+15,1.091e+15,990.5,38.99,39.04,39.17,39.11,-90.83,-90.54,-90.58,-90.87,0.02213,0.2027,30.94,22,1.011e+16,-133.3,21.07,4.225e+04,139,996,0.069,6.147e+08,77.68,16.21,0,0
8,0,39.1967,-90.7450,2.118,1.135,0.8215,0.8215,1.217e-30,1.217e-30,1.217e-30,1.217e-30,1.217e-30,1.217e-30,0.4697,0.4706,0.4954,0.5209,0.5471,0.5868,0.6411,0.7114,0.7762,0.8436,0.9143,0.9882,1.068,1.152,1.268,1.378,1.521,1.664,1.83,1.967,2.103,2.237,2.419,2.596,1.382e+15,1.382e+15,1.721e-09,1.625e-09,1.53e-09,1.434e-09,1.339e-09,1.259e-09,1.154e-09,1.147e-09,9.561e-10,8.175e-10,7.686e-10,7.228e-10,6.674e-10,5.841e-10,5.044e-10,3.03e-10,1.342e-10,7.828e-11,6.287e-11,5.485e-11,4.653e-11,3.956e-11,3.555e-11,3.418e-11,3.905e-11,6.787e-11,8.791e-11,6.062e-11,7.178e-11,1.765e-10,1020,1015,1010,1005,1000,996,990.4,990,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3859,0.3866,0.407,0.428,0.4495,0.482,0.5267,0.5845,0.6376,0.6931,0.7512,0.8119,0.8775,0.9467,1.042,1.132,1.249,1.367,1.504,1.616,1.728,1.837,1.988,2.132,0,996,0,4.999e+15,3.999e+15,1e+15,1.195e+15,990.4,39.11,39.16,39.28,39.23,-90.87,-90.58,-90.62,-90.91,0.024,0.1173,31.21,22,8.972e+15,-133.6,21.13,4.225e+04,136,996,0.069,6.147e+08,77.65,16.21,0,0
9,0,39.3158,-90.7859,2.118,1.135,0.8022,0.8022,1.247e-30,1.247e-30,1.247e-30,1.247e-30,1.247e-30,0.4701,0.4702,0.4727,0.4958,0.522,0.549,0.5898,0.6457,0.718,0.7847,0.8542,0.927,1.003,1.085,1.172,1.292,1.405,1.552,1.699,1.871,2.011,2.151,2.289,2.477,2.658,2.428e+15,2.428e+15,1.682e-09,1.597e-09,1.512e-09,1.426e-09,1.341e-09,1.171e-09,1.17e-09,1.152e-09,9.99e-10,8.614e-10,8.086e-10,7.592e-10,7.072e-10,6.273e-10,5.28e-10,3.089e-10,1.582e-10,8.796e-11,6.413e-11,5.441e-11,4.68e-11,4.024e-11,3.59e-11,3.506e-11,4.129e-11,7.396e-11,8.387e-11,5.437e-11,6.993e-11,1.775e-10,1020,1015,1010,1005,1000,990.1,990,989,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3771,0.3772,0.3792,0.3977,0.4187,0.4404,0.4731,0.5179,0.576,0.6295,0.6852,0.7436,0.8047,0.8707,0.9404,1.036,1.127,1.245,1.363,1.501,1.613,1.726,1.836,1.987,2.132,0,989,0,5.718e+15,4.002e+15,1.716e+15,1.125e+15,990.1,39.23,39.28,39.4,39.35,-90.91,-90.62,-90.66,-90.95,0.02307,0.3673,31.48,22,9.793e+15,-133.8,21.19,4.225e+04,138,996,0.069,6.147e+08,77.63,16.21,0,0
